NUMBER	ENGLISH	GLOSS_IN_SOURCE	DEFINITION	ALIAS	DOMAIN
1	alcoholic drink	&lt;alcoholic drink&gt;	drink that contains ethanol, a type of alcohol produced by fermentation of grains, fruits, or other sources of sugar		Plants
2	animal	&lt;animal&gt;	Any kind of beasts, birds or insects. Not an animal in general but a particular representative of the fauna.		Animals
3	artiodactyl (even-toed animal)	&lt;artiodactyl (even-toed animal)&gt;	one of ungulate mammals with an even number of toes and belonging to the Artiodactyla, including pigs, sheep, deer, cattle, and most grazing animals		Animals
4	abdomen	abdomen	cavity of the belly, which is lined by the peritoneum, and contains the viscera; often restricted in humans to the part between the diaphragm and the commencement of the pelvis		N/a
5	aberration of mind	aberration of mind	None		Human being
6	abies (Abies)	abies (Abies)	tree of the genus Abies		Plants
7	ability	ability	quality or state of being able; capacity to do or of doing something; having the necessary power		Abstract entities
8	aborigine	aborigine	native inhabitant		N/a
9	about	about			N/a
10	above	above			Space
11	abracadabra	abracadabra	Gibberish, meaningless sequence of sounds or words.		N/a
12	abrupt (offensive, critical, or acrimonious)	abrupt (offensive, critical, or acrimonious)			N/a
13	abscess	abscess			Physiology
14	abstinent (from alcohol)	abstinent (from alcohol)			N/a
15	abundance	abundance			Abstract entities
16	accident	accident			N/a
17	accomplice	accomplice			Human being
18	according to	according to			N/a
19	ace (playing card)	ace (playing card)	playing card with a single spot		N/a
20	acid	acid	any of a class of water-soluble compounds, having sour taste, that turn blue litmus red, and react with some metals to liberate hydrogen, and with bases to form salts		N/a
21	aconite	aconite			Plants
22	acorn	acorn	fruit of the oak, being an oval nut growing in a woody cup		Plants
23	acrobat, equilibrist	acrobat, equilibrist			Human being
24	act, deed	act, deed			N/a
25	active	active			Evaluation
26	activity	activity			N/a
27	acute (disease, condition)	acute (disease, condition)			N/a
28	acute (of sound)	acute (of sound)			Sound
29	Adam's apple	Adam&#39;s apple	lump in the throat, usually more noticeable in men than in women; the laryngeal prominence		Body parts
30	additional	additional			Non-physical
31	address (description of the location)	address (description of the location)	description of the location of a property, usually with at least a street name and number, name of a town, and now also a postal code; such a description as superscribed for direction on an envelope or letter		N/a
32	adulterer	adulterer	one who commits adultery: a spouse who has sex with a non-spouse		Human being
33	advantage	advantage	superiority of position or condition; a factor or circumstance of benefit to its possessor   (Merriam-Webster)		N/a
34	Advent	Advent	period of the Christian church year between Advent Sunday and Christmas		N/a
35	advice	advice	opinion offered to guide behavior in an effort to be helpful		N/a
